articles_sold,unique_sales,total_revenue,average_revenue,article_name
83,55,20,99,XL Set Vorratsgläser aus Glas mit Deckel aus 100% Bambus — in 4 Größen
94,40,33,41,"Wiederverwendbarer Lebensmittelbeutel ”Large” — 26 x 21,5cm - 1,92 Liter"
7,97,94,95,Farbige Mehrweg-Becher 300 ml aus Baumsaft
10,21,21,37,Hibiskustee — 70g
93,76,23,62,PARSA Vita Seifen-Säckchen
2,14,52,98,Spültuch DISKTRASA
71,95,91,81,Dokumentenablage aus 100% Bambus | Zeitschriftensammler Aufbewahrung von Dokumenten
86,25,42,33,Farbige Mehrweg-Becher 300 ml aus Baumsaft
65,35,23,32,"Geschirrtuch LARA, Biobaumwolle, GOTS-zertifiziert, 50 x 70 cm"
51,8,72,62,Olivenöl-Seife OLIVE
98,24,67,49,Schneidebrett
91,62,40,88,Hochwertiges Seifensäckchen aus Bio Sisal mit Baumwollschlaufe
64,59,17,21,Interdentalbürsten aus Bambus — 6 Stück — Nachhaltige Zahnpflege
1,80,96,87,Olivenöl-Seife APRIKOSE
63,47,3,39,Sack aus Altpapier
2,62,85,91,"Postkarte ""Ho, ho, ho"""
11,94,75,23,Anti-Stress-Kugeln in Box (im 2er Set) aus Olivenholz
77,18,52,97,Zahnbürstenhalter NAILA
57,61,6,84,Pfannenwender (ohne Löcher) aus Olivenholz
99,11,84,74,Regalmodul | ROOM IN A BOX
12,82,34,71,Green Umami Gewürzmischung 50g
39,91,99,80,Topfbürste mit ergonomisch geformten Holzgriff
30,30,60,33,6x geknickte Metallstrohhalme / plastikfreie Trinkhalme inkl. Reinigungsbürste & Tragetasche
45,12,14,55,ShowerBit - festes Duschgel Mandelblüte - 60g
58,0,40,92,Dessertteller ELSA
71,22,0,38,Feueranzünder
57,36,78,41,Schale ELSA
74,14,85,63,Seifenschale NICOLE PETROL
77,9,98,74,Naturtasche als Obst- & Gemüsebeutel (20x26cm)
57,11,83,87,neti®-Nasenspülkännchen
52,83,97,90,Bio Schoko-Kürbis Zartbitter
29,70,84,33,"Nussmilchbeutel für pflanzliche Milch aus Bio-Baumwolle, Filtertuch, Passiertuch, Nut Milk Bag, 1Stk."
33,32,72,33,Mix 5er Set Dekokugel (klein)
15,82,68,94,Rotweinsalz Bio
71,59,97,66,Tischset Butter bei die Fische
86,14,39,94,Öko-Spülschwamm
5,76,6,11,Olivenöl-Seife ROSE
82,38,23,63,Bleistift zum Einpflanzen
50,44,10,45,"4er Set Rechteckige Glasbox mit Bambusdeckel 370ml, 640ml, 1040ml, 1520ml — Auflaufform Ofenform"
34,76,71,16,Pflanzen in der Dose - Glücksklee
12,95,93,60,Duftöllampe CLARA
48,10,21,36,festes Shampoo Walnuss-Mandel - 55g
54,57,94,24,Backpapier 24 zugeschnittene Blätter
51,99,74,1,Suppenteller ELSA
17,17,26,75,"Spülschwamm aus Luffa, 100% plastikfrei & kompostierbar"
31,61,3,16,40x80 cm Kapok Bio Kopfkissen vegan mit separatem Innenbeutel
97,81,98,58,Brotschneidebrett aus 100% Bambus - Schneidebrett Brotbrett Schneideunterlage
40,66,56,69,Kochlöffel RUND (30 cm) aus Olivenholz
95,12,94,10,Vitamin B12 Tropfen 50ml
66,14,51,67,Seife Chia Seed/Grapefruit
67,70,54,50,Besteckkasten aus Bambus für Schubladen größenverstellbar
25,61,40,82,Gemüse- / Schälmesser mit gerader Klinge mit Olivenholzgriff
68,12,48,84,Duschseife Rosmarinkraft BIO - Rosmarinseife
9,85,50,62,6x gerade Metallstrohhalme / plastikfreie Trinkhalme inkl. Reinigungsbürste & Tragetasche
34,29,81,71,PARSA Beauty Edelsteinroller Rosenquarz
28,85,0,57,Stoffbinde Tagesbinde PLUS waschbar aus Bio Baumwolle 1 Stück
62,41,29,11,Living Crafts Badematte
6,24,18,9,Recycelter Baumwollteppich PARIS
79,5,7,47,Luffa Schwamm 3er Set (Küchenschwamm) bzw. Spülschwamm für die Küche zum Spülen & Putzen
75,7,82,55,Duschseife Lavendelzeit BIO - Lavendelseife
95,33,43,44,Zahnbürste aus Bambus | 4erPack | mittelweich | grün
63,77,78,59,"Wiederverwendbarer Lebensmittelbeutel ”Stand-Up” — 21,5 x 18cm - 1,6 Liter"
65,53,44,78,Guppyfriend Waschbeutel
9,24,27,79,DENTTABS Zahnputztabletten mit Fluorid
2,83,23,3,Pflanzenbasierte Zahnseide
56,75,31,58,Vegane Zahnseide im plastikfreien Glasflakon - 30 Meter - Minzgeschmack mit Bambus Aktivkohle
29,61,59,23,Bulgarische Joghurtkulturen - Naturjoghurt selber machen
9,26,28,2,Wiederverwendbare Küchenrolle aus Bambus-Viskose
78,37,99,93,Käsemesser mit Handgriff aus Olivenholz
70,44,49,79,"Alltagsmaske in Grün Schwarz mit Blüten, zweilagig aus Bio-Baumwolle"
74,77,19,85,"Topfhalter POLLY aus Biobaumwolle, GOTS-zertifiziert"
57,4,43,54,Lemongras Seife - für Körper und Haar - Naturkosmetik zertifiziert
30,71,55,41,Handcreme (vegan & fest) | Naturkosmetik | Biologisch | Regional | Plastikfrei
79,60,1,89,Ökologisches Insektenhaus mit Metalldach | Bienenhotel Insektenhotel Nützlingshotel
70,0,43,20,3er Vorratspack Lemongras Seife – Naturkosmetik zertifiziert - biologisch abbaubar
91,92,29,10,Bienenwachstuch Repair-Wachs
57,23,12,44,EcoYou® Rasierklingen 100er Set | Ersatzklingen Klingen für Rasierhobel
91,76,17,4,Bio Kefir / Milchkefir Drink mit Kefirknollen (mittel)
16,51,48,93,Zwitscherbox
88,10,35,19,Tischset Moin
14,89,12,47,"Frischhaltedose rund, 0,7l , 1,5l oder 2,5l"
63,6,36,66,Waschbare Taschentücher 5er-Pack
50,99,91,78,Seifenspender LYSE
4,76,42,10,BioCase — Smartphone Hülle aus nachhaltigem Bio-Material
88,53,28,9,Zahnbürsten Etui
23,30,96,27,Fair Zone Gartenhandschuhe
94,44,45,78,HALM Glasstrohhalme  6x 20 cm (gerade)
28,3,76,85,2-tlg. Set: Pfannenwender und Kochlöffel aus Olivenholz
12,45,13,19,10er Set Gewürzgläser jeweils 150ml Volumen | Gewürzbehälter Glasdose Vorratsdose
